,jobId,workType,year
1,38098375,Full Time,2019
2,38259053,Full Time,2019
3,38267899,Full Time,2019
4,38267995,Full Time,2019
5,38269206,Contract/Temp,2019
6,38269216,Contract/Temp,2019
7,38270740,Full Time,2019
8,38272439,Full Time,2019
9,38273974,Full Time,2019
10,38274601,Full Time,2019
11,38278746,Full Time,2019
12,38278747,Full Time,2019
13,38280450,Contract/Temp,2019
14,38280451,Contract/Temp,2019
15,38282551,Contract/Temp,2019
16,38283702,Contract/Temp,2019
17,38284724,Contract/Temp,2019
18,38285286,Full Time,2019
19,38285477,Full Time,2019
20,38288026,Contract/Temp,2019
21,38289785,Full Time,2019
22,38291214,Full Time,2019
23,38299223,Full Time,2019
24,38305435,Full Time,2019
25,38305440,Full Time,2019
26,38305803,Full Time,2019
27,38305983,Full Time,2019
28,38306688,Full Time,2019
29,38307963,Full Time,2019
30,38314661,Full Time,2019
31,38314694,Contract/Temp,2019
32,38315204,Contract/Temp,2019
33,38315554,Contract/Temp,2019
34,38316571,Contract/Temp,2019
35,38318403,Contract/Temp,2019
36,38320662,Full Time,2019
37,38320858,Full Time,2019
38,38322210,Full Time,2019
39,38324346,Contract/Temp,2019
40,38324745,Contract/Temp,2019
41,38325029,Full Time,2019
42,38326190,Full Time,2019
43,38329034,Full Time,2019
44,38331193,Full Time,2019
45,38331270,Contract/Temp,2019
46,38331485,Full Time,2019
47,38332258,Full Time,2019
48,38334247,Full Time,2019
49,38335998,Full Time,2019
50,38337655,Full Time,2019
51,38338855,Full Time,2019
52,38339334,Full Time,2019
53,38339335,Full Time,2019
54,38339474,Full Time,2019
55,38339475,Full Time,2019
56,38342340,Full Time,2019
57,38342422,Full Time,2019
58,38343393,Full Time,2019
59,38347861,Full Time,2019
60,38350683,Contract/Temp,2019
61,38353752,Full Time,2019
62,38353759,Full Time,2019
63,38353809,Full Time,2019
64,38362895,Full Time,2019
65,38363396,Full Time,2019
66,38363508,Full Time,2019
67,38363660,Full Time,2019
68,38363751,Contract/Temp,2019
69,38365859,Full Time,2019
70,38366703,Full Time,2019
71,38366878,Full Time,2019
72,38372570,Full Time,2019
73,38376088,Full Time,2019
74,38376565,Full Time,2019
75,38376919,Full Time,2019
76,38377852,Contract/Temp,2019
77,38378406,Full Time,2019
78,38380671,Contract/Temp,2019
79,38383430,Full Time,2019
80,38387405,Full Time,2019
81,38387560,Full Time,2019
82,38390470,Full Time,2019
83,38391902,Full Time,2019
84,38393969,Full Time,2019
85,38400083,Contract/Temp,2019
86,38400254,Contract/Temp,2019
87,38403750,Contract/Temp,2019
88,38406493,Full Time,2019
89,38408709,Full Time,2019
90,38413087,Full Time,2019
91,38414091,Contract/Temp,2019
92,38416895,Full Time,2019
93,38424264,Full Time,2019
94,38427134,Full Time,2019
95,38435919,Full Time,2019
96,38437124,Full Time,2019
97,38443865,Full Time,2019
98,38443866,Full Time,2019
99,38447004,Full Time,2019
100,38448100,Full Time,2019
101,38448110,Full Time,2019
102,38451658,Full Time,2019
103,38452547,Contract/Temp,2019
104,38453505,Full Time,2019
105,38454683,Full Time,2019
106,38455824,Full Time,2019
107,38456114,Full Time,2019
108,38458030,Full Time,2019
109,38460327,Full Time,2019
110,38460336,Full Time,2019
111,38461297,Contract/Temp,2019
112,38461362,Contract/Temp,2019
113,38461920,Full Time,2019
114,38463715,Contract/Temp,2019
115,38464880,Full Time,2019
116,38465272,Full Time,2019
117,38468314,Full Time,2019
118,38470453,Full Time,2019
119,38470867,Casual/Vacation,2019
120,38472025,Full Time,2019
121,38477448,Contract/Temp,2019
122,38477464,Contract/Temp,2019
123,38477474,Contract/Temp,2019
124,38477547,Contract/Temp,2019
125,38483932,Full Time,2019
126,38484869,Full Time,2019
127,38487347,Full Time,2019
128,38487380,Full Time,2019
129,38487437,Full Time,2019
130,38487720,Full Time,2019
131,38488757,Full Time,2019
132,38490404,Full Time,2019
133,38490423,Full Time,2019
134,38490810,Contract/Temp,2019
135,38492604,Contract/Temp,2019
136,38494885,Full Time,2019
137,38495208,Full Time,2019
138,38497216,Contract/Temp,2019
139,38497540,Full Time,2019
140,38500467,Full Time,2019
141,38500468,Full Time,2019
142,38502353,Full Time,2019
143,38502572,Full Time,2019
144,38503594,Full Time,2019
145,38503756,Full Time,2019
146,38507417,Full Time,2019
147,38508350,Contract/Temp,2019
148,38508883,Contract/Temp,2019
149,38508909,Contract/Temp,2019
150,38509159,Contract/Temp,2019
151,38510416,Contract/Temp,2019
152,38512905,Contract/Temp,2019
153,38513017,Contract/Temp,2019
154,38513440,Contract/Temp,2019
155,38513493,Contract/Temp,2019
156,38513903,Contract/Temp,2019
157,38514125,Full Time,2019
158,38514541,Contract/Temp,2019
159,38514752,Full Time,2019
160,38516648,Full Time,2019
161,38516649,Full Time,2019
162,38516691,Full Time,2019
163,38516905,Contract/Temp,2019
164,38516956,Full Time,2019
165,38517767,Full Time,2019
166,38517976,Full Time,2019
167,38518570,Contract/Temp,2019
168,38518667,Contract/Temp,2019
169,38519752,Full Time,2019
170,38520146,Full Time,2019
171,38520402,Full Time,2019
172,38520425,Full Time,2019
173,38520862,Contract/Temp,2019
174,38520932,Contract/Temp,2019
175,38523222,Contract/Temp,2019
176,38523726,Contract/Temp,2019
177,38526989,Full Time,2019
178,38535222,Contract/Temp,2019
179,38535411,Full Time,2019
180,38537973,Contract/Temp,2019
181,38537974,Contract/Temp,2019
182,38540886,Contract/Temp,2019
183,38540887,Contract/Temp,2019
184,38542288,Full Time,2019
185,38542822,Full Time,2019
186,38544594,Full Time,2019
187,38544742,Full Time,2019
188,38547260,Full Time,2019
189,38547389,Full Time,2019
190,38547503,Full Time,2019
191,38549522,Full Time,2019
192,38551256,Full Time,2019
193,38552087,Full Time,2019
194,38555954,Contract/Temp,2019
195,38556033,Contract/Temp,2019
196,38556208,Contract/Temp,2019
197,38556593,Contract/Temp,2019
198,38556858,Contract/Temp,2019
199,38557632,Contract/Temp,2019
200,38557703,Contract/Temp,2019
201,38557768,Contract/Temp,2019
202,38560763,Contract/Temp,2019
203,38561225,Contract/Temp,2019
204,38563152,Full Time,2019
205,38564258,Full Time,2019
206,38564366,Full Time,2019
207,38565311,Contract/Temp,2019
208,38565312,Contract/Temp,2019
209,38567310,Full Time,2019
210,38575855,Full Time,2019
211,38578631,Full Time,2019
212,38579276,Full Time,2019
213,38579658,Contract/Temp,2019
214,38580429,Full Time,2019
215,38584443,Full Time,2019
216,38585384,Full Time,2019
217,38587859,Full Time,2019
218,38587951,Full Time,2019
219,38590660,Full Time,2019
220,38593234,Full Time,2019
221,38594055,Full Time,2019
222,38595275,Full Time,2019
223,38604629,Full Time,2019
224,38604706,Full Time,2019
225,38605485,Full Time,2019
226,38605486,Full Time,2019
227,38605978,Full Time,2019
228,38611243,Full Time,2019
229,38611983,Full Time,2019
230,38614543,Full Time,2019
231,38614567,Full Time,2019
232,38616110,Full Time,2019
233,38618566,Full Time,2019
234,38619214,Full Time,2019
235,38623164,Full Time,2019
236,38623838,Contract/Temp,2019
237,38627600,Full Time,2019
238,38631105,Contract/Temp,2019
239,38632917,Full Time,2019
240,38633126,Full Time,2019
241,38633230,Full Time,2019
242,38641856,Full Time,2019
243,38642611,Full Time,2019
244,38642612,Full Time,2019
245,38644875,Contract/Temp,2019
246,38648773,Contract/Temp,2019
247,38648941,Full Time,2019
248,38648949,Contract/Temp,2019
249,38650280,Full Time,2019
250,38651049,Contract/Temp,2019
251,38651082,Contract/Temp,2019
252,38651083,Contract/Temp,2019
253,38651167,Full Time,2019
254,38651355,Contract/Temp,2019
255,38651465,Contract/Temp,2019
256,38651641,Contract/Temp,2019
257,38651832,Full Time,2019
258,38651833,Full Time,2019
259,38653064,Full Time,2019
260,38653065,Full Time,2019
261,38658689,Contract/Temp,2019
262,38659209,Full Time,2019
263,38659675,Contract/Temp,2019
264,38664552,Full Time,2019
265,38664969,Contract/Temp,2019
266,38667725,Contract/Temp,2019
267,38675867,Full Time,2019
268,38676374,Full Time,2019
269,38680411,Full Time,2019
270,38683694,Full Time,2019
271,38686065,Part Time,2019
272,38687490,Contract/Temp,2019
273,38687491,Contract/Temp,2019
274,38688485,Contract/Temp,2019
275,38689890,Contract/Temp,2019
276,38692371,Full Time,2019
277,38693720,Full Time,2019
278,38700507,Contract/Temp,2019
279,38702873,Contract/Temp,2019
